Isad311Référence,Isad312Intitulé,Isad313Dates,Isad313DatesNormees,Isad315ImportanceMatérielle,Isad321NomProducteur,CategorieFonds,TypeInstrumentRecherche,url,PresentationProducteur
"CH BGE Ms. fr. 201-206, 215-250; Ms. fr. 7252-7260 et cotes diverses. Ms. R. (propriété de la Société J.-J Rousseau)",Collection des manuscrits de Jean-Jacques Rousseau,1722-1807,1722/1807,1.2 m.,"Rousseau, Jean-Jacques (1712-1778)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtac4d10e1e493b2200,"Jean-Jacques Rousseau est né le 28 juin 1712 à Genève. En 1725, il occupe une place d'apprenti chez un graveur mais quitte soudainement Genève en 1728 pour se rendre à Annecy, auprès de la baronne de Warens qui le pousse à se convertir au catholicisme. Jusqu'en 1742, année où il s'établit à Paris, Jean-Jacques Rousseau mène une vie mouvementée entre l'étude de la musique et des séjours à Turin, Annecy et Chambéry, où il rejoint Madame de Warens aux ""Charmettes"". Entre 1743 et 1744, il est secrétaire particulier de l'ambassadeur de France à Venise. Il rentre ensuite à Paris où il occupe des fonctions de précepteur et de secrétaire. Grâce à Diderot, il devient en 1749 un des collaborateurs de l'""Enyclopédie"". En 1750, Rousseau obtient le prix de l'Académie de Dijon pour sa réponse à la question : ""Si le rétablissement des sciences et des arts a contribué à épurer les moeurs?"" qui le propulse sur les devants de la scène littéraire, En 1755 paraît le ""Discours sur l'origine de l'inégalité"", dédié à la République de Genève, puis en 1758 la ""Lettre à D'Alembert sur les spectacles"", ce dernier réclamant un théâtre pour Genève. En 1754, il était retourné au protestantisme et du coup avait repris sa qualité de citoyen genevois, perdue par l'abjuration. Rousseau publie ensuite coup sur coup ""La Nouvelle Héloïse"" (1761), ""Du Contrat social"" et l'""Emile"" (1762). Ce dernier ouvrage, dont la ""Profession de foi du vicaire savoyard"" a soulevé un grand scandale, est condamné à Paris et à Genève. Rousseau se réfugie alors dans la principauté de Neuchâtel, à Môtiers. En 1764, il publie ses ""Lettres écrites de la Montagne"" pour intervenir dans les débats politiques qui entourent sa condamnation à Genève. L'ouvrage est également censuré. Après avoir été chassé de l'île Saint-Pierre où il a séjourné quelques semaines en 1765, Rousseau connaît une vie errante (Angleterre, Dauphiné). On le retrouve à Paris en 1770 où il achève ses ""Confessions"", puis écrit les ""Rêveries du promeneur solitaire"". En mai 1778, Rousseau accepte l'offre du marquis de Girardin et s'installe dans un pavillon du parc d'Ermenonville. Il meurt subitement le 2 juillet 1778. Sa dépouille est transportée au Panthéon en 1794."
"CH BGE Ms. fr. 2188-2192, Ms. l. e. 271",Correspondance de Carl Vogt,1814-1913,1814/1913,5 volumes + 1 carton,"Vogt, Carl (1817-1895)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta5df4f7ebfbcc72e2,"Carl Vogt est né le 5 juillet 1817 à Giessen, en Allemagne. Compromis dans l'affaire des républicains de Marbourg, il dut s'enfuir en 1835, se réfugia à Strasbourg puis à Berne où il passa son doctorat en médecine en 1839. Au début de la révolution allemande, il fut nommé commandant de la garde civique de Griessen et député au Parlement de Francfort; il y dirigea, avec Robert Blum, la gauche radicale. Il suivit le Parlement à Stuttgart et fut nommé en juin 1849, avec Raveaux, Schüler, Simon et Becher, régent de l'empire allemand. La victoire réactionnaire le força à fuir. Il se réfugia de nouveau à Berne, puis se rendit à Paris et à Nice entre 1850-1852. Aussi célèbre par ses écrits scientifiques que par son rôle politique, il fut appelé à l'Académie de Genève en 1852 comme professeur de géologie puis de paléontologie, de zoologie et d'anatomie comparée dès 1872. Naturalisé genevois en 1861, il fut député au Grand Conseil de 1856 à 1861 et de 1878 à 1880, au Conseil des Etats de 1856 à 1861 et de 1870 à 1871 puis au Conseil national de 1878 à 1881. Il occupa le poste de premier recteur de l'Université de Genève, à l'extension de laquelle il a eu une très large part, notamment lors de la fondation et de l'organisation de la Faculté de médecine. Il présida l'Institut national genevois de 1857 à 1894. Carl Vogt est décédé le 5 mai 1895 à Genève. [adapté de: S. Scholl, ""Vogt, Carl"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F3899.php, version du 30.10.12]"
CH BGE non catalogué (1943),Papiers Jean-Jacques Rigaud,18e - 19e s.,1700/1899,0.4 m.,"Rigaud, Jean-Jacques (1785-1854)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta5e0ef31870ffadc1,"Jean-Jacques Rigaud étudie à l'académie de Genève où il obtient le titre de maître es arts en 1804. Sa carrière politique est spectaculaire: membre du Conseil représentatif (1814-1821), auditeur (1816-1819), conseiller d'Etat (1821), lieutenant de police (1822 et 1824), onze fois premier syndic (1825-1843) et huit fois député à la Diète (1830-1841). Député et président de l'Assemblée constituante de 1841, il est député au Grand Conseil genevois (1842-1846, président en 1845-1846). Libéral modéré, adepte du ""progrès graduel"", Jean-Jacques Rigaud a une influence notable sur la politique genevoise dès le milieu des années 1820. A la suite des mouvements démocratiques cantonaux de la Régénération, il fera voter plusieurs lois libérales et sera favorable à une révision du pacte fédéral de 1815. Parallèlement à son activité politique, il s'intéresse à l'art. Il est notamment membre de la Société des Arts de Genève (1819)."
"CH BGE Ms. fr. 4961-4969, 5156-5180",Papiers Georges Cattaui,1889-1974,1889/1974,2.8 m,"Cattaui, Georges (1896-1974)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaa48167690336cc76,"Français originaire d'Egypte, Georges Cattaui est né le 15 septembre 1896. Après quelques années passées dans la diplomatie, il s'est consacré essentiellement à la carrière des lettres. Il a laissé plusieurs recueils de vers et des présentations de poètes français (de Hugo à Claudel) et étrangers (Cavafy, Hopkins, Yeats, Eliot). Grand admirateur de Marcel Proust, il lui a consacré plusieurs ouvrages, et c'est en catholique fervent qu'il a parlé de Bernard de Clairvaux et s'est penché sur l'oeuvre de Léon Bloy, Charles Péguy et Camille Claudel. Auteur d'études remarquées sur le baroque, Cattaui fut aussi le premier biographe du général De Gaulle. Georges Cattaui était un grand ami de la Suisse et de Genève en particulier où il séjournait chaque année. C'est à ce titre qu'il a, de son vivant, remis à la Bibliothèque publique et universitaire la plus grande partie de sa correspondance. Georges Cattaui est décédé le 11 juillet 1974. Cf. Philippe M. Monnier, ""Hommage à Georges Cattaui"", In : Musée de Genève, n° 150, novembre-décembre 1974"
CH BGE Non catalogué (1955/006),Papiers Charles Vellay,19e - 20e s.,1800/1999,1.7 m.,"Vellay, Charles (1876-1953)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtae9650387cf12de5e,"Helléniste, directeur de la i[Revue des études homériques]i"
CH BGE Ms. fr. 4450-4464,Papiers Albertine Necker-de Saussure,18e - 19e s.,1773/1881,0.5 m,"Necker, Albertine, née de Saussure (1766-1841)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtad3c0caa4488eacbc,"Issue d'une famille protestante genevoise, Albertine Necker est née à Genève le 9 avril 1766. Fille d'Horace Bénédict de Saussure [et d'Albertine-Amélie Boissier], elle épousa en 1785 [le botaniste] Jacques Necker [(1757-1825) neveu du célèbre banquier]. Enfant, elle apprit à observer la nature grâce à son père, qui lui enseigna les langues classiques et les sciences. Elle fit aussi un voyage en Italie. Après son mariage, elle s'installa à Cologny et y tint salon, tout en fréquentant celui de sa cousine [par alliance] et amie Germaine de Staël à Coppet. A une époque où l'on pensait qu'il suffisait de préparer les jeunes filles à leur futur rôle d'épouse, elle prit le contre-pied de ""l'Emile"" de Rousseau et écrivit dans ""L'éducation progressive ou étude du cours de la vie"" (3 vol., 1828-1838) que les femmes devaient bénéficier d'une formation ouverte, fondée sur les langues, les sciences naturelles et les beaux-arts, apte à faire d'elles des personnes cultivées au lieu de les confiner dans des préoccupations superficielles et dans les vanités à la mode. Albertine Necker-de Saussure est décédée le 18 avril 1841 à Mornex [-sous-Salève] (Savoie). D'après Hans-Ulrich Grunder, ""Necker [-de Saussure], Albertine"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F9048.php, version du 16.12.2008"
CH BGE Non catalogué (2013/33),Papiers Francis Andruet,circa 1958-1997,1958/1997,0.3 m,"Andruet, Francis (1923- )",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaac06131d2d60ff2b,"Francis Andruet naît à Genève en 1923. Graphiste, il expose ses oeuvres à maintes reprises en Suisse (Genève, Berne, etc.), et à Paris."
"CH BGE Non catalogué (2005/39, 2016/8, 2019/1, 2020/33)",Papiers Henry Mottu,20e s.,1977/1999,0.1 m.,"Mottu, Henry (né en 1939)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtae75d1da3f35462da,"Né en 1939, Henry Mottu est un pasteur, théologien et professeur genevois, reçu docteur en théologie en 1971. Il a enseigné à l’Union Theological Seminary de New York comme professeur assistant de 1970 à 1972, puis comme Fosdick visiting professor en 1976-1977. Il fut directeur du Centre de rencontres de Cartigny qu'il quitta en janvier 1982, co-directeur dès 1981 de l'Atelier oecuménique de théologie, directeur du département de la formation des adultes de l'Eglise nationale protestante de Genève, ainsi que la cheville ouvrière, en 1986, du Forum international qui a marqué le 450e anniversaire de la Réformation. Henry Mottu a obtenu en février 1987 le Prix Daniel-Colladon pour son livre ""Les Confessions de Jérémie, une protestation contre la souffrance"" (Labor et Fides). A la fin de la même année, il fut nommé à la chaire de théologie pratique de l'Université de Genève."
CH BGE Ms. suppl. 1081-1133,Collection Léonard Bourdillon,1309-1817,1309/1817,1.1 m,"Bourdillon, Léonard (1725-1802)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta18e377285e77a1dc,"Léonard Bourdillon est directeur des Coches et des Messageries royales en France pour les trajets vers Genève, avant que cette fonction lui soit retirée à cause de son engagement politique. En 1770, il est élu conseiller au Conseil des Deux-Cents (CC), dans lequel il siège jusqu'en 1792. Auditeur en 1780, membre de l'assemblée nationale en 1793, magistrat de police, juge de paix en 1796. Représentant convaincu, il siège au Conseil d'Etat illégal pendant la révolution de 1782. Passionné par l'histoire de sa famille et chroniqueur, il réalise une généalogie des Bourdillon depuis leur arrivée à Genève."
CH BGE Non catalogué (1998/003),Papiers Ernst Wiederkher,20e - 21es.,1900/2099,0.3 m.,"Wiederkher, Ernst (né en 1921)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtadac29638aa054f5e,Historien
CH BGE Ms. fr. 7240-7249,Papiers Frank Duperrut,18e - 19e s.,1801/1999,0.7 m,"Duperrut, Frank (1862-1910)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta4062cdc80383c5e9,"Frank Duperrut est né le 3 juillet 1862, il habite entre Genève et le Grand-Lancy et fréquente le Collège de Genève de 1870 à 1877. A côté de ses études, il est répétiteur et à l'âge de 15 ans, lorsqu'il sort du collège, il a déjà 20 élèves. Il termine ses études en 1881, mais tombe gravement malade. Il fait son service militaire en 1882 et devient lieutenant l'année suivante. Parallèlement, il fait de nombreuses lectures et prend des notes. En 1889, il part à Paris en compagnie de sa mère dans le but de suivre des cours, mais passe tout son temps à travailler à la Bibliothèque Nationale. Après un bref séjour à Londres et Berlin, il revient à Genève en août 1890. A partir de 1891, Frank Duperrut rédige ses pensées en vue d'une publication et en 1893 paraît ""Le Christianisme de l'avenir"". Dans sa biographie sur Frank Duperrut, Hélène Naville note : ""Duperrut appartient un peu à la même école que Frommel bien qu'il ne soit pas à sa hauteur, comme penseur, mais, au point de vue spirituel, il l'égale certainement"". En 1894, il fait construire, sur son terrain aux Voirons, une maison de Retraite, le Chalet de l'Aurore, afin d'accueillir des jeunes gens durant l'été ""désireux de travailler en commun à leur éducation religieuse et morale"". A partir de cette même année, il publie de nombreuses brochures et articles et donne des conférences, enseigne la philosophie, la psychologie au Pensionnat des Marguerites ainsi qu'à la Faculté libre de théologie de Genève. Il crée aussi un groupe d'études bibliques cherchant toujours à développer les valeurs morales. Déjà malade en 1909, il doit interrompre son enseignement; il meurt le 30 août 1910 à l'âge de 48 ans."
CH BGE Ms. fr. 8192-8193,"Papiers Colette de Veyrac, Swiss American Friends of Music",1948-1953,1948/1953,"0,15 m, 2 cartons",Colette de Veyrac (1907-1992),Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta1c0b77bb7dfc26a6,"Colette de Veyrac, née Segnitz, est l'épouse du Comte Maurice de Veyrac-Paulhan (1898-1982). De nationalité française, elle vécut une jeunesse dorée entre Paris, Londres, Monaco, Singapour et la Riviera Vaudoise. Durant la Seconde Guerre mondiale, le couple de Veyrac a une activité de résistants aux portes de Genève. Installée à Genève après la guerre, Colette de Veyrac, qui est aussi organiste, promeut de jeunes talents de musiciens. En 1949 et 1950, elle oeuvre au sein des Swiss-American Friends of Music, association qui a des attaches avec le Consulat des Etats-Unis et qui organise des concerts hebdomadaires au American Community House, au 3 rue de Monthoux (locaux de l'Emmanuel Church, dite aussi Eglise américaine), parfois aussi dans d'autres lieux. Le but est d'""encourager les jeunes à se faire entendre et connaître du public et aussi de leur présenter des artistes professionnels de valeur susceptibles de les intéresser"" (lettre au magistrat Marius Noul du 2 juin 1950). Colette de Veyrac est pendant quelque temps directrice des programmes musicaux au Consulat des Etats-Unis à Genève. Liée d'amitié avec Henri Gagnebin, Ernest Ansermet, Edmond Appia, Dinu Lipatti, Clara Haskil et bien d'autres musiciens, elle est co-fondatrice en 1951 du Cercle international des amis de la musique (C.I.A.M.), héritier de l'association Swiss-American Friends of Music, qui poursuit ses activités jusqu'à aujourd'hui. (Tiré d'une nécrologie parue dans le Journal de Genève du 25 juillet 1992, et informations recueillies dans le fonds)"
CH BGE Ms. fr. 4279-4295,Papiers Edouard Martinet,20e s.,1900/1950,1.3 m,"Martinet, Edouard (1896-1962)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtac39a1a4605599383,"Né à Genève en 1896, Edouard Martinet a fait ses études dans sa ville natale. Compositeur et critique musical dans ses jeunes années, il s'est cependant voué à la littérature. On doit à son goût de la nature et sa poésie du souvenir plusieurs recueils de prose et de vers : ""Verjus"" (1930), ""Imageries rustiques"" (1933), ""Poésie de mon pays"" (1942) ""Femmes étranges"" (1942). Chroniqueur à ""La Suisse"", à ""L'illustré"" puis à la ""Tribune de Genève"", collaborateur de Radio-Genève (""Causeries intimes et romanesques""), Martinet a laissé quelques ouvrages de critique littéraire : ""André Gide, l'amour et la divinité"" (1931), ""Portraits d'écrivains romands"" (1940 et 1954), ""Princes de lettres"" (1945). Edouard Martinet était membre du Groupe Jean Violette et du Comité de la Fondation Charles-Ferdinand Ramuz; il a présidé durant vingt ans la Section de littérature de l'Institut national genevois."
CH BGE Ms. Cramer 1-180,Papiers Jean Cramer,18e s.,1700/1799,4.5 m.,"Cramer, Jean (1701-1773)",Personnes et familles,Description linéaire,https://archives.bge-geneve.ch/ark:/17786/vtaa55b911a3aa0b401,"Né le 21 juin 1701 à Genève, l'avocat Jean Cramer est le frère du mathématicien Gabriel. De 1723 à 1738, il est professeur de droit à l'Académie de Genève. Il est nommé au Petit-Conseil en 1738, trésorier général et cinq fois syndic et premier syndic en 1770. Il est l'auteur d'un Recueil de décisions et d'observations de jurisprudence à l'usage des juges et des avocats de Genève en 12 vol. et d'un Commentaire des édits civils, écrits entre 1755 et 1761. Il décède à Genève le 24 mars 1773."
"CH BGE non catalogué (2017/11, 2019/17)",Papiers Alexandre Trifu,seconde partie du XXe siècle-début XXIe siècle,1970/2015,"0,5 ml.","Trifu, Alexandre (1942-)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta4c43cb7c6106f3cb,"Alexandre Trifu est né à Bucarest (Roumanie) en 1942. Artiste peintre, il est diplômé de l'Institut des Beaux-Arts ""Nicolae Grigorescu"" (aujourd'hui Université nationale des Arts de Bucarest). Il a participé à de nombreuses expositions et manifestations culturelles à Genève, en France, notamment à Paris et à Lyon, ou encore à Québec. Ses oeuvres sont entrées dans des collections privées, des musées et des collections bancaires d'art contemporains."
